id,name,tf,is_pf,is_ret,is_dd,is_trades,oos_pf,oos_ret,oos_dd,oos_trades,full_pf,full_ret,full_dd,full_sharpe
tsm30_ls,TSM 30д L/S,4h,0.9713283976484249,-0.3274127151579709,6.946232981247641,29,1.1187442867840602,0.8791003902520966,2.8353012304571457,32,1.4376634665548627,21.232581579632615,7.977394860180589,0.6587503001600207
tsm30_lo,TSM 30д long-only,4h,1.9553839189520086,4.334455204679055,3.9993237192638302,14,0.71090366412337,-0.9815908468679524,3.4828695219354175,16,2.0206471377053425,21.407882419317083,6.0214254093812345,0.8557630122294972
tsm45_ls,TSM 45д L/S,4h,2.316938001726891,5.5784711059223335,2.332658590901918,23,1.9061938706152126,3.7968818482170263,3.8242088464663717,18,1.4971596538830005,16.96014464975011,7.600812886133375,0.5436103150065686
tsm45_lo,TSM 45д long-only,4h,7.090330458214931,6.677637681890225,2.2003433043702576,11,1.4758030958089452,0.9007041649333303,2.145734067155623,9,2.0293281532491014,15.57200114489401,6.900303601688357,0.637081746751298
tsm60_ls,TSM 60д L/S,4h,2.4273501677905727,5.47034642614217,3.0923796307848086,12,1.5827977417878172,2.094224860501881,2.6435386570215633,15,1.9659081526363265,25.023115097003746,8.614998841141462,0.7788599155203799
tsm60_lo,TSM 60д long-only,4h,6.691205325928553,7.610535213643965,2.1669695723058595,6,0.9964246367095855,-0.009085623458815473,3.249472909480333,8,2.582370133918732,19.53148481316149,8.503565613542767,0.7831221309267526
tsm90_ls,TSM 90д L/S,4h,2.516669434542106,4.564041213950776,2.550490867596435,10,1.2508035606638337,0.46757672744857093,2.3784170372052693,5,1.3600780967434605,6.523236802470955,7.67970284541504,0.2894596589649058
tsm90_lo,TSM 90д long-only,4h,13.297263024687682,7.089178610153812,2.216320682675614,5,0.28067745307537406,-0.7841179603523818,2.6724690608653163,3,1.6046752024082842,6.246343285055755,7.741303358653802,0.38731518859209424
tsm45_lo_ema,TSM 45д long-only + фильтр EMA200,4h,8.064261454733622,6.535645775110122,2.264348506437646,7,1.786127458835853,1.2276186137578415,1.8277563090995281,7,2.6481029284217423,19.19228355689384,6.890448481870994,0.7456019099114822
tsm60_lo_ema,TSM 60д long-only + фильтр EMA200,4h,14.305125624281128,7.666715736269469,2.236095334631739,4,0.9844609267326053,-0.03995661041915621,3.2793434660087812,8,2.266268053397766,14.108557730486782,7.826962823080313,0.6511238364782242
tsm45_ls_vt,TSM 45д L/S + таргет vol 20%,4h,2.1267863274272165,8.582446611893602,4.72096231068829,23,1.7375549541814095,6.227683959926811,7.360294474873726,18,1.7109572180410877,37.811285802909644,11.745237446787844,0.7381649799690553
