symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,reason
ETHUSDT,LONG,2021-01-03 09:00:00+00:00,2021-01-03 13:00:00+00:00,818.5777599999999,849.1559683114284,0.6363708678507716,18.397783800435892,3.735528841075353,TP1_HALF
SOLUSDT,SHORT,2021-01-03 12:00:00+00:00,2021-01-03 14:00:00+00:00,2.2634342999999997,2.0323753592999996,53.62751857810466,12.160744022714328,10.208334330711521,TP1_HALF
ETHUSDT,LONG,2021-01-03 09:00:00+00:00,2021-01-03 15:00:00+00:00,818.5777599999999,889.4114839285714,0.6363708678507716,43.98960377208843,8.65326758065985,STOP
XRPUSDT,SHORT,2021-01-03 10:00:00+00:00,2021-01-03 17:00:00+00:00,0.21891086999999998,0.23817416336999994,1314.0357793170774,-25.91328280369991,-8.799605688835799,STOP
SOLUSDT,SHORT,2021-01-03 12:00:00+00:00,2021-01-03 23:00:00+00:00,2.2634342999999997,2.1290161749999994,53.62751857810466,6.972954276220042,5.938680217048942,STOP
XRPUSDT,SHORT,2021-01-03 18:00:00+00:00,2021-01-04 06:00:00+00:00,0.2309688,0.24820640129999996,1478.6412718156184,-26.196756938355236,-7.463173077922192,STOP
BTCUSDT,LONG,2021-01-03 16:00:00+00:00,2021-01-04 07:00:00+00:00,33540.126619999995,31715.30314123714,0.02247433064439263,-42.47825833416322,-5.440717321784694,STOP
BTCUSDT,LONG,2021-01-04 11:00:00+00:00,2021-01-05 00:00:00+00:00,30301.030759999994,32469.414557811426,0.009075376084247461,19.10923306189272,7.156138730019346,TP1_HALF
BTCUSDT,LONG,2021-01-04 11:00:00+00:00,2021-01-05 04:00:00+00:00,30301.030759999994,30621.841791428567,0.009075376084247461,2.3585827816527427,1.0587462650018864,STOP
BTCUSDT,LONG,2021-01-05 17:00:00+00:00,2021-01-06 04:00:00+00:00,32502.369899999998,34985.96355831429,0.007947544204130534,19.202103871128035,7.641269439599507,TP1_HALF
SOLUSDT,LONG,2021-01-05 07:00:00+00:00,2021-01-07 12:00:00+00:00,2.2154132,2.6301661153714284,29.973476154923286,12.28634776300435,18.721244207239906,TP1_HALF
SOLUSDT,LONG,2021-01-05 07:00:00+00:00,2021-01-07 18:00:00+00:00,2.2154132,2.230381671428572,29.973476154923286,0.31540119487150364,0.675651450870296,STOP
BTCUSDT,LONG,2021-01-05 17:00:00+00:00,2021-01-07 18:00:00+00:00,32502.369899999998,37219.12897178572,0.007947544204130534,36.93253652898899,14.512046617824392,STOP
BTCUSDT,LONG,2021-01-08 00:00:00+00:00,2021-01-08 02:00:00+00:00,39471.71227999999,36897.85641736285,0.015888767067273737,-42.10881455423906,-6.5207606003484635,STOP
SOLUSDT,LONG,2021-01-08 10:00:00+00:00,2021-01-08 11:00:00+00:00,2.7306278999999996,3.0839729828142852,35.19263196215357,12.230512346244133,12.940067111095054,TP1_HALF
SOLUSDT,LONG,2021-01-08 10:00:00+00:00,2021-01-08 13:00:00+00:00,2.7306278999999996,3.440124289285714,35.19263196215357,24.7518802958818,25.982902660802477,STOP
XRPUSDT,LONG,2021-01-10 01:00:00+00:00,2021-01-10 20:00:00+00:00,0.33154121,0.2868337320042857,566.8578113123218,-25.69331379213932,-13.484742363012515,STOP
ETHUSDT,LONG,2021-01-10 01:00:00+00:00,2021-01-11 03:00:00+00:00,1291.19991,1165.6616529471428,0.32393325980975246,-41.461876012953454,-9.722604228872445,STOP
SOLUSDT,LONG,2021-01-09 18:00:00+00:00,2021-01-11 14:00:00+00:00,3.2532499999999995,2.693614403571428,45.21143879340055,-25.5707968105333,-17.202354458728088,STOP
ETHUSDT,LONG,2021-01-11 15:00:00+00:00,2021-01-14 08:00:00+00:00,1039.5685299999998,1166.9900146842856,0.15521132748701327,19.434774907315873,12.257151020557133,TP1_HALF
ETHUSDT,LONG,2021-01-11 15:00:00+00:00,2021-01-15 15:00:00+00:00,1039.5685299999998,1127.2619667857143,0.15521132748701327,13.274698097563782,8.435560932737607,STOP
BTCUSDT,LONG,2021-01-15 17:00:00+00:00,2021-01-17 10:00:00+00:00,36187.241089999996,33869.49340748142,0.017535335697096536,-41.8709520313864,-6.404875344749783,STOP
SOLUSDT,LONG,2021-01-12 12:00:00+00:00,2021-01-17 17:00:00+00:00,3.4219184999999994,3.8802914672142856,26.985209257093775,12.172238774067985,13.395204100106017,TP1_HALF
XRPUSDT,LONG,2021-01-11 08:00:00+00:00,2021-01-19 05:00:00+00:00,0.27996968999999994,0.31879842959571425,319.45731233673155,12.212843938470758,13.868908307793726,TP1_HALF
SOLUSDT,LONG,2021-01-12 12:00:00+00:00,2021-01-19 18:00:00+00:00,3.4219184999999994,3.704035114285714,26.985209257093775,7.420680521964974,8.24439899096705,STOP
XRPUSDT,LONG,2021-01-11 08:00:00+00:00,2021-01-20 00:00:00+00:00,0.27996968999999994,0.29056129071428577,319.45731233673155,3.2013040038257325,3.7831240639963015,STOP
SOLUSDT,LONG,2021-01-20 13:00:00+00:00,2021-01-20 20:00:00+00:00,3.4054019999999996,3.706470390857143,41.03442265389742,12.062336020613794,8.84090603274279,TP1_HALF
BTCUSDT,LONG,2021-01-17 16:00:00+00:00,2021-01-21 08:00:00+00:00,35764.198469999996,33282.40917367285,0.016287899892871507,-41.547759847019066,-6.939311944622329,STOP
SOLUSDT,LONG,2021-01-20 13:00:00+00:00,2021-01-21 09:00:00+00:00,3.4054019999999996,3.4330849071428564,41.03442265389742,0.8553387499277387,0.812911578217701,STOP
XRPUSDT,LONG,2021-01-20 08:00:00+00:00,2021-01-21 12:00:00+00:00,0.29775746,0.27609430361142856,1169.5458011249616,-26.007199513966984,-7.2754369910904675,STOP
XRPUSDT,LONG,2021-01-21 13:00:00+00:00,2021-01-22 00:00:00+00:00,0.28174145999999994,0.25585784603999995,970.6850929753614,-25.646677855667885,-9.187009238895827,STOP
BTCUSDT,LONG,2021-01-21 23:00:00+00:00,2021-01-22 18:00:00+00:00,30944.093179999996,33146.71899539143,0.008901035384704131,19.035175735054334,7.11808164026293,TP1_HALF
BTCUSDT,LONG,2021-01-21 23:00:00+00:00,2021-01-23 11:00:00+00:00,30944.093179999996,31559.13356142857,0.008901035384704131,4.918152765234027,1.987585733570918,STOP
SOLUSDT,LONG,2021-01-23 08:00:00+00:00,2021-01-25 18:00:00+00:00,3.5550514999999994,3.874680084214285,38.42218636251609,11.9953624979163,8.990828521451387,TP1_HALF
SOLUSDT,LONG,2021-01-23 08:00:00+00:00,2021-01-25 22:00:00+00:00,3.5550514999999994,3.6656235642857142,38.42218636251609,3.970986337490688,3.11028023885771,STOP
ETHUSDT,LONG,2021-01-26 01:00:00+00:00,2021-01-26 12:00:00+00:00,1369.1978299999998,1278.0856078842855,0.4437025028258391,-41.60132727784485,-6.654423496691808,STOP
SOLUSDT,LONG,2021-01-26 01:00:00+00:00,2021-01-27 11:00:00+00:00,3.8769730999999994,3.6251478947571423,100.37176949851514,-26.029142613788053,-6.495407596272907,STOP
ETHUSDT,LONG,2021-01-27 16:00:00+00:00,2021-01-29 08:00:00+00:00,1282.3610799999997,1379.3300121342854,0.20126428790503736,18.98067971263733,7.561749467184842,TP1_HALF
ETHUSDT,LONG,2021-01-27 16:00:00+00:00,2021-01-29 19:00:00+00:00,1282.3610799999997,1337.2118067857143,0.20126428790503736,10.512265995926347,4.2773231066646655,STOP
SOLUSDT,LONG,2021-01-27 16:00:00+00:00,2021-01-30 15:00:00+00:00,3.7290252999999995,4.090052581842856,33.8830271356651,11.967763159350548,9.681545519223377,TP1_HALF
XRPUSDT,LONG,2021-01-30 14:00:00+00:00,2021-01-30 15:00:00+00:00,0.33626593,0.36282880942714285,460.8279186642763,11.918754066421014,7.899366857398515,TP1_HALF
XRPUSDT,LONG,2021-01-30 14:00:00+00:00,2021-01-30 17:00:00+00:00,0.33626593,0.49038305464285714,460.8279186642763,70.6405308486318,45.83191780471401,STOP
XRPUSDT,LONG,2021-01-30 19:00:00+00:00,2021-01-30 22:00:00+00:00,0.38732693999999995,0.4205466866314285,372.359640105699,12.068873367217885,8.576668235736085,TP1_HALF
XRPUSDT,LONG,2021-01-30 19:00:00+00:00,2021-01-31 00:00:00+00:00,0.38732693999999995,0.44090793642857146,372.359640105699,19.642999306137696,13.833532061718067,STOP
SOLUSDT,LONG,2021-01-27 16:00:00+00:00,2021-01-31 14:00:00+00:00,3.7290252999999995,4.435438692857143,33.8830271356651,23.658787404157696,18.943647093441363,STOP
BTCUSDT,LONG,2021-01-31 11:00:00+00:00,2021-02-03 03:00:00+00:00,33687.333679999996,36347.71493810571,0.007455500166158941,19.312326595244045,7.897274635555873,TP1_HALF
SOLUSDT,LONG,2021-02-03 05:00:00+00:00,2021-02-03 15:00:00+00:00,5.1476425,5.513245164642857,34.00449832887857,12.069617062104879,7.102332080031926,TP1_HALF
SOLUSDT,LONG,2021-02-03 05:00:00+00:00,2021-02-04 09:00:00+00:00,5.1476425,5.701970892857143,34.00449832887857,18.48072324807428,10.768587617674363,STOP
XRPUSDT,LONG,2021-02-04 16:00:00+00:00,2021-02-04 17:00:00+00:00,0.40521481,0.43974284126142854,361.9854825765901,12.192783655439156,8.520920363554474,TP1_HALF
SOLUSDT,LONG,2021-02-04 10:00:00+00:00,2021-02-04 21:00:00+00:00,5.7458401,6.174841220614286,29.086639079331707,12.13146820478415,7.466290623268224,TP1_HALF
XRPUSDT,LONG,2021-02-04 16:00:00+00:00,2021-02-04 23:00:00+00:00,0.40521481,0.4461751639285714,361.9854825765901,14.518862672768458,10.108306240971654,STOP
SOLUSDT,LONG,2021-02-04 10:00:00+00:00,2021-02-05 17:00:00+00:00,5.7458401,6.701909239285714,29.086639079331707,27.446774796909082,16.639327281065718,STOP
BTCUSDT,LONG,2021-01-31 11:00:00+00:00,2021-02-07 04:00:00+00:00,33687.333679999996,38220.48589821428,0.007455500166158941,33.260808355306885,13.456547975198152,STOP
SOLUSDT,LONG,2021-02-06 04:00:00+00:00,2021-02-07 12:00:00+00:00,6.151845699999999,6.716943461442857,22.281166196496866,12.304305509922868,9.185824693926548,TP1_HALF
SOLUSDT,LONG,2021-02-06 04:00:00+00:00,2021-02-07 15:00:00+00:00,6.151845699999999,6.302569692857142,22.281166196496866,3.0808074354011583,2.450061334554343,STOP
ETHUSDT,LONG,2021-02-07 08:00:00+00:00,2021-02-07 15:00:00+00:00,1633.6319999999998,1544.8541708571427,0.4689107861053323,-43.11930810110359,-5.434383578606273,STOP
BTCUSDT,LONG,2021-02-07 17:00:00+00:00,2021-02-08 12:00:00+00:00,38223.905719999995,39813.477746065706,0.012517548221854557,18.92070777774475,4.158580856989702,TP1_HALF
BTCUSDT,LONG,2021-02-07 17:00:00+00:00,2021-02-08 14:00:00+00:00,38223.905719999995,43245.286068214285,0.012517548221854557,61.835576112240716,13.136753698057957,STOP
SOLUSDT,LONG,2021-02-08 10:00:00+00:00,2021-02-09 02:00:00+00:00,7.625617999999999,8.319536564142856,18.15282503771544,12.307132684305786,9.099833798950542,TP1_HALF
SOLUSDT,LONG,2021-02-08 10:00:00+00:00,2021-02-09 06:00:00+00:00,7.625617999999999,7.784461317857143,18.15282503771544,2.6037184837965657,2.0830222266201126,STOP
SOLUSDT,LONG,2021-02-09 07:00:00+00:00,2021-02-10 12:00:00+00:00,8.0878798,7.306319738057142,33.238359248958936,-26.489452048091405,-9.663349125723375,STOP
ETHUSDT,LONG,2021-02-09 09:00:00+00:00,2021-02-10 12:00:00+00:00,1804.8029999999999,1695.697034142857,0.3833538511543408,-43.16812236430427,-6.045311641056827,STOP
SOLUSDT,LONG,2021-02-10 13:00:00+00:00,2021-02-10 20:00:00+00:00,7.927019099999999,8.695989405899999,16.433945416819093,12.364034419866,9.700623856198343,TP1_HALF
XRPUSDT,LONG,2021-02-10 16:00:00+00:00,2021-02-11 14:00:00+00:00,0.4878773899999999,0.5300464558242856,299.3062153887991,12.316792564500409,8.643373660805565,TP1_HALF
SOLUSDT,LONG,2021-02-10 13:00:00+00:00,2021-02-11 21:00:00+00:00,7.927019099999999,8.955860175,16.433945416819093,16.630465752647392,12.978915050173168,STOP
XRPUSDT,LONG,2021-02-10 16:00:00+00:00,2021-02-12 14:00:00+00:00,0.4878773899999999,0.5560237767857142,299.3062153887991,20.084191013782842,13.967932964820196,STOP
ETHUSDT,LONG,2021-02-10 17:00:00+00:00,2021-02-12 17:00:00+00:00,1728.7570299999998,1830.3455665414283,0.1977208313099445,19.38246117242637,5.87639181090871,TP1_HALF
XRPUSDT,LONG,2021-02-12 16:00:00+00:00,2021-02-13 02:00:00+00:00,0.5876570699999999,0.6384369225728571,250.0443555305313,12.39063762832274,8.64106894397736,TP1_HALF
XRPUSDT,LONG,2021-02-12 16:00:00+00:00,2021-02-13 08:00:00+00:00,0.5876570699999999,0.5904300503571428,250.0443555305313,0.39879405153209946,0.47187050045069956,STOP
ETHUSDT,LONG,2021-02-10 17:00:00+00:00,2021-02-13 11:00:00+00:00,1728.7570299999998,1766.5309864285716,0.1977208313099445,6.777606814646907,2.1850355933807464,STOP
BTCUSDT,LONG,2021-02-13 13:00:00+00:00,2021-02-14 06:00:00+00:00,46926.68980999999,48953.18833376142,0.009948982155460995,19.20769045425047,4.318434843724228,TP1_HALF
SOLUSDT,LONG,2021-02-13 16:00:00+00:00,2021-02-15 01:00:00+00:00,9.076066999999998,8.378098372285713,37.430492842592535,-26.77862773605446,-7.690210172691381,STOP
BTCUSDT,LONG,2021-02-13 13:00:00+00:00,2021-02-15 02:00:00+00:00,46926.68980999999,47584.29735642857,0.009948982155460995,5.602237619900652,1.4013508071657022,STOP
XRPUSDT,LONG,2021-02-13 16:00:00+00:00,2021-02-15 02:00:00+00:00,0.6140133999999999,0.556777493742857,455.39961244652096,-26.5983872467947,-9.321605400980326,STOP
BTCUSDT,LONG,2021-02-15 05:00:00+00:00,2021-02-15 17:00:00+00:00,46913.43657,48702.72081200143,0.011203256409117172,18.974597823929873,3.81401230185221,TP1_HALF
BTCUSDT,LONG,2021-02-15 05:00:00+00:00,2021-02-16 14:00:00+00:00,46913.43657,48802.29314142857,0.011203256409117172,20.089016627417354,4.026259233024199,STOP
XRPUSDT,LONG,2021-02-16 10:00:00+00:00,2021-02-16 16:00:00+00:00,0.5609603999999999,0.5059632160285713,473.244268824764,-26.532017602539078,-9.80411165769074,STOP
SOLUSDT,LONG,2021-02-16 21:00:00+00:00,2021-02-18 14:00:00+00:00,8.1323242,8.812185336514284,18.710598935037325,12.403567134748812,8.359985654707236,TP1_HALF
SOLUSDT,LONG,2021-02-16 21:00:00+00:00,2021-02-19 02:00:00+00:00,8.1323242,8.622686539285715,18.710598935037325,8.861476777126697,6.0297932943415455,STOP
SOLUSDT,LONG,2021-02-19 03:00:00+00:00,2021-02-19 06:00:00+00:00,8.726918199999998,9.275676096085713,23.138431947183676,12.280845431066254,6.288106333868404,TP1_HALF
XRPUSDT,LONG,2021-02-16 19:00:00+00:00,2021-02-19 12:00:00+00:00,0.5222417199999999,0.5757532475657142,238.23564196097516,12.48677158596243,10.246505691983842,TP1_HALF
BTCUSDT,LONG,2021-02-17 10:00:00+00:00,2021-02-19 15:00:00+00:00,51482.47104,53739.81635860286,0.008920730958696284,19.198510551387137,4.384687201298076,TP1_HALF
SOLUSDT,LONG,2021-02-19 03:00:00+00:00,2021-02-19 15:00:00+00:00,8.726918199999998,11.280665185714286,23.138431947183676,58.62675673267753,29.262872954559004,STOP
XRPUSDT,LONG,2021-02-16 19:00:00+00:00,2021-02-20 14:00:00+00:00,0.5222417199999999,0.5277338807142857,238.23564196097516,1.058286822241202,1.05165108492018,STOP
BTCUSDT,LONG,2021-02-17 10:00:00+00:00,2021-02-20 22:00:00+00:00,51482.47104,55333.93175035714,0.008920730958696284,33.40496440381681,7.4811108180193875,STOP
SOLUSDT,LONG,2021-02-21 17:00:00+00:00,2021-02-22 10:00:00+00:00,10.7931824,9.667194814028571,23.440708174860717,-26.873552142693754,-10.432396528121568,STOP
BTCUSDT,LONG,2021-02-22 15:00:00+00:00,2021-02-23 02:00:00+00:00,53532.308829999994,50948.166450098564,0.016485403373007187,-44.323032285553786,-4.827257475682146,STOP
XRPUSDT,LONG,2021-02-22 17:00:00+00:00,2021-02-23 05:00:00+00:00,0.5764959199999999,0.5084697983657143,386.56745089034547,-26.71609686617444,-11.79993114856488,STOP
ETHUSDT,LONG,2021-02-23 06:00:00+00:00,2021-02-23 08:00:00+00:00,1621.60999,1478.4004667957142,0.2926397776525464,-42.81598939902662,-8.831317276497884,STOP
SOLUSDT,LONG,2021-02-23 14:00:00+00:00,2021-02-24 18:00:00+00:00,15.761245499999998,17.807880508071428,6.252308854964084,12.58630964005082,12.98523652887349,TP1_HALF
SOLUSDT,LONG,2021-02-23 14:00:00+00:00,2021-02-25 03:00:00+00:00,15.761245499999998,16.124598546428572,6.252308854964084,2.072435324584065,2.30535744417264,STOP
BTCUSDT,LONG,2021-02-23 13:00:00+00:00,2021-02-26 07:00:00+00:00,48718.880209999996,44749.92049478999,0.010525670356596364,-42.759783405756096,-8.146656282127228,STOP
SOLUSDT,LONG,2021-02-26 01:00:00+00:00,2021-02-28 06:00:00+00:00,13.780666899999998,11.974401940242855,14.40798507175887,-26.395717223194403,-13.10723909709438,STOP
SOLUSDT,LONG,2021-02-28 15:00:00+00:00,2021-02-28 19:00:00+00:00,11.926414499999998,13.352052653357141,8.922510906159335,12.494724572699145,11.953619030741747,TP1_HALF
SOLUSDT,LONG,2021-02-28 15:00:00+00:00,2021-03-02 17:00:00+00:00,11.926414499999998,14.093788532142858,8.922510906159335,19.106252894186426,18.17288869293332,STOP
BTCUSDT,LONG,2021-03-03 12:00:00+00:00,2021-03-04 03:00:00+00:00,51717.996329999994,49505.36854938428,0.019052933869523125,-44.08565285903847,-4.278255032344013,STOP
SOLUSDT,LONG,2021-03-04 13:00:00+00:00,2021-03-05 00:00:00+00:00,13.534621099999999,12.674904936042857,30.27977956919464,-26.8256346076803,-6.35197806872585,STOP
BTCUSDT,LONG,2021-03-04 14:00:00+00:00,2021-03-05 00:00:00+00:00,49683.07344,47419.96993120286,0.018521336612924925,-43.71418002874082,-4.555079531322049,STOP
SOLUSDT,LONG,2021-03-06 14:00:00+00:00,2021-03-06 20:00:00+00:00,12.2386264,12.916275766457144,18.442136745123754,12.033392135885121,5.536972404494223,TP1_HALF
BTCUSDT,LONG,2021-03-05 17:00:00+00:00,2021-03-07 08:00:00+00:00,47705.79813999999,50176.548507574276,0.008083052705890976,19.180017277273812,5.179140615829314,TP1_HALF
SOLUSDT,LONG,2021-03-06 14:00:00+00:00,2021-03-08 07:00:00+00:00,12.2386264,13.310098007142855,18.442136745123754,19.28905282826606,8.754835486626632,STOP
BTCUSDT,LONG,2021-03-05 17:00:00+00:00,2021-03-08 08:00:00+00:00,47705.79813999999,49277.076454285714,0.008083052705890976,11.916807743080595,3.293684154858001,STOP
BTCUSDT,LONG,2021-03-08 09:00:00+00:00,2021-03-08 20:00:00+00:00,49930.23034999999,51673.64390929284,0.011420859594608247,18.75087789383625,3.4916994115026245,TP1_HALF
SOLUSDT,LONG,2021-03-08 11:00:00+00:00,2021-03-09 04:00:00+00:00,13.332118799999998,14.083770931199997,16.73361872023323,12.11909312811364,5.637904540724614,TP1_HALF
BTCUSDT,LONG,2021-03-08 09:00:00+00:00,2021-03-10 02:00:00+00:00,49930.23034999999,53963.93312035714,0.011420859594608247,44.88179233293711,8.07867847210353,STOP
